year,assault_gun_rate,assault_nongun_rate,murder_rate,assault_gun_agencies,assault_nongun_agencies,murder_agencies
1965,0.7698512278186055,0.7058560477001704,0.916144434497165,193,215,160
1966,0.729842780902928,0.6969888483415221,0.8935008192244676,197,220,163
1967,0.7012517225539734,0.6709767370793384,0.8729792147806005,200,221,163
1968,0.6651160768628814,0.6438886068859289,0.8473724884080371,199,222,166
1969,0.6481146056314836,0.6723112188787747,0.8221743453762015,204,225,169
1970,0.7059874048312811,0.6379204969253989,0.8351463153056534,206,225,173
1971,0.6594241799225835,0.6670424738852331,0.8183361629881154,205,224,168
1972,0.6625089290620364,0.6700536396729454,0.8145983417153732,207,225,173
1973,0.653285903461169,0.6751960881926697,0.7810665986220975,205,227,171
1974,0.6227983280581797,0.632926944523202,0.7851824274013403,205,225,171
1975,0.629824392126592,0.6406239099018288,0.7803916581892166,204,226,172
1976,0.605397684558713,0.6364316966456004,0.8087580760947595,207,227,174
1977,0.6038229522494367,0.6290868700621652,0.754388389771942,208,228,173
1978,0.59052186821971,0.6346781531475127,0.7566137566137566,210,228,175
1979,0.5597784754587469,0.6162768529180743,0.7255501941861834,209,228,172
1980,0.5181534818116914,0.5960805699463753,0.6989634478996181,208,227,174
1981,0.5094533196541111,0.5881992251734999,0.6921005385996409,209,227,173
1982,0.5517720219766951,0.6068867878244171,0.7127478009715111,203,221,169
1983,0.5456693867657753,0.6159493518400782,0.7441383728379244,209,228,175
1984,0.5481236032981429,0.6132056615323115,0.7291199366671065,209,228,175
1985,0.5382733991457385,0.6137654137268976,0.7031149024169575,209,228,174
1986,0.5224202973592721,0.6031330097226398,0.7011297500855871,210,228,173
1987,0.5122718230751229,0.6268944587227595,0.7053227360308285,210,228,175
1988,0.49667890808331233,0.618990047183054,0.7087426936948141,206,225,160
1989,0.456111911623439,0.6076650136798906,0.6958338168736219,206,224,159
1990,0.4542906447733096,0.6183060336136447,0.6776975531488166,204,222,168
1991,0.4200748117747228,0.6160783344363732,0.6647442564054079,199,216,165
1992,0.4242456438589035,0.6126758166325654,0.6488949205118263,207,225,173
1993,0.40040782897925753,0.6046623343184238,0.6427719137218908,204,223,173
1994,0.40569547032126013,0.5934862712468798,0.6486883320281911,207,225,174
1995,0.4114540559084341,0.6075114516194414,0.6153846153846154,202,220,170
1996,0.4091475997188145,0.601018613213336,0.6246425463135646,203,221,158
1997,0.4204502625694113,0.6108264273688684,0.6166509243017136,205,223,158
1998,0.4048147942466818,0.5988590986879635,0.6299711815561959,204,222,169
1999,0.4087703016241299,0.6067739250283156,0.6271269633507853,203,221,169
2000,0.36349869768005333,0.5691619659752343,0.5775769643130648,200,220,167
2001,0.3394013120736847,0.5538765917329473,0.576472290551295,202,219,164
2002,0.3425212809079854,0.5522997841518503,0.5901523702031602,208,225,171
2003,0.34049298334908745,0.5687006959468021,0.5998326826547685,207,223,174
2004,0.330518539976825,0.5528994876215103,0.5848732273313278,209,227,169
2005,0.30971578441683223,0.5334161343742607,0.5786240786240786,207,226,174
2006,0.31177148064242594,0.5184020211272213,0.555377421509686,208,226,174
2007,0.3248476821192053,0.5253532158151173,0.5862397820163487,207,227,173
2008,0.3488741182854042,0.5453873334591047,0.6044197277915996,208,228,173
2009,0.35500636868073143,0.5579381707786377,0.6203208556149733,208,226,174
2010,0.3525975927381448,0.5571789312035991,0.6172465960665658,210,228,171
2011,0.34994442096034317,0.5577928900486081,0.601195559350982,208,228,173
2012,0.3314811804519056,0.5466272855133615,0.5818832330460237,209,228,172
2013,0.34028126569563033,0.558580647459378,0.6181755355908777,209,228,174
2014,0.31445820297007887,0.5370126333175197,0.6058783086971468,208,228,171
2015,0.2916179388460376,0.5222896028145542,0.5705343511450381,207,227,174
2016,0.2889561612578929,0.5171553981377864,0.5321191585486376,209,227,170
2017,0.29760480344595036,0.5149513919339487,0.5727640574856984,209,227,171
